numero_proceso,nombre_proceso,tipo_proceso,fecha_apertura,estado,unidad_ejecutora,servicio_administrativo_financiero,process_url,process_href,detail_status,detail_text
74/3-0020-LPU26,SERVICIO DE LIMPIEZA PREDIO INTENDENCIA Y MUSEO HISTORICO PN LANIN X 12 MESES,Licitación Pública,02/10/2026 10:00 Hrs.,Publicado,74/003 - Parque Nacional Lanin,107 - Administración de Parques Nacionales,,"javascript:__doPostBack('ctl00$CPH1$GridListaPliegosAperturaProxima$ctl02$lnkNumeroProceso','')",NO_DIRECT_URL,
38/4-1125-LPR26,"SERVICIO DE ALQUILER DE CARPAS, BAÑOS QUÍMICOS Y VALLAS PARA ACTOS OFICIALES PARA EL ANAT.",Licitación Privada,02/10/2026 10:00 Hrs.,Publicado,38/4 - INTENDENCIA NAVAL MAR DEL PLATA,379 - Estado Mayor General de la Armada,,"javascript:__doPostBack('ctl00$CPH1$GridListaPliegosAperturaProxima$ctl03$lnkNumeroProceso','')",NO_DIRECT_URL,
16-0002-CPU26,"RENOVACION DEL SERVICIO DE LOCACIÓN, MANTENIMIENTO Y GESTIÓN INTEGRAL DE IMPRESIONES DIGITALES",Concurso Público,02/10/2026 10:00 Hrs.,Publicado,16/000 - Dirección General de Administración-ARN,112 - Autoridad Regulatoria Nuclear,,"javascript:__doPostBack('ctl00$CPH1$GridListaPliegosAperturaProxima$ctl04$lnkNumeroProceso','')",NO_DIRECT_URL,
487-0067-LPU26,"Mantenimiento preventivo, correctivo e integral de VEINTISÉIS (26) equipos de hemodiálisis",Licitación Pública,02/10/2026 10:00 Hrs.,Publicado,487 - División Compras y Suministros - Superintendencia de Bienestar de la Policia Federal Argentina,403 - Superintendencia de Bienestar de la Policia Federal Argentina,,"javascript:__doPostBack('ctl00$CPH1$GridListaPliegosAperturaProxima$ctl05$lnkNumeroProceso','')",NO_DIRECT_URL,
38/37-1097-LPR26,ELEMENTOS DE PROTECCION PERSONAL ANTE FENOMENOS CLIMATICOS ADVERSOS,Licitación Privada,02/10/2026 10:00 Hrs.,Publicado,38/37 - Hospital Naval Puerto Belgrano,379 - Estado Mayor General de la Armada,,"javascript:__doPostBack('ctl00$CPH1$GridListaPliegosAperturaProxima$ctl06$lnkNumeroProceso','')",NO_DIRECT_URL,
87-0040-CDI26,Contratación por Previo Desarme y Examen para la reparación del equipo de climatización N° 2 - ENERC,Contratación Directa,02/10/2026 10:00 Hrs.,Publicado,"87 - Coordinación de Compras, Contrataciones y Servicios Generales - INCAA",801 - Instituto Nacional de Cine y Artes Audiovisuales - INCAA,,"javascript:__doPostBack('ctl00$CPH1$GridListaPliegosAperturaProxima$ctl07$lnkNumeroProceso','')",NO_DIRECT_URL,
84/8-1380-LPR26,ADQUISICIÓN DE VÍVERES PARA EL H GRL 602 - HMCM.,Licitación Privada,02/10/2026 10:00 Hrs.,Publicado,84/08 - Hospital General 602 Campo de Mayo,374 - Estado Mayor General del Ejercito,,"javascript:__doPostBack('ctl00$CPH1$GridListaPliegosAperturaProxima$ctl08$lnkNumeroProceso','')",NO_DIRECT_URL,
47-0023-LPR26,"Adquisición de repuestos YANMAR para el Buque de Investigación Pesquera ""DR. EDUARDO L. HOLMBERG""",Licitación Privada,02/10/2026 10:00 Hrs.,Publicado,47 - Dpto. de Compras y Servicios- INIDEP,607 - Instituto Nacional de Investigación y Desarrollo Pesquero,,"javascript:__doPostBack('ctl00$CPH1$GridListaPliegosAperturaProxima$ctl09$lnkNumeroProceso','')",NO_DIRECT_URL,
38/18-1118-LPR26,"ADQUISICIÓN DE REACTIVOS PARA EL DEPARTAMENTO DE SANIDAD DEL ROMPEHIELOS A.R.A. ""ALMIRANTE IRIZAR"".",Licitación Privada,02/10/2026 10:00 Hrs.,Publicado,38/18 - Division Contrataciones - Comando de Transportes Navales,379 - Estado Mayor General de la Armada,,"javascript:__doPostBack('ctl00$CPH1$GridListaPliegosAperturaProxima$ctl10$lnkNumeroProceso','')",NO_DIRECT_URL,
37/7-0083-LPR26,"ADQUISICIÓN DE MATERIALES DE CONSTRUCCIÓN, FERRETERÍA Y AFINES.",Licitación Privada,02/10/2026 10:00 Hrs.,Publicado,"37/007 - Escuela De Suboficiales ""Cabo Raúl Remberto Cuello""",375 - Gendarmeria Nacional,,"javascript:__doPostBack('ctl00$CPH1$GridListaPliegosAperturaProxima$ctl11$lnkNumeroProceso','')",NO_DIRECT_URL,
38/18-1153-LPR26,"ADQUISICIÓN DE INSUMOS INFORMATICOS PARA EL BUQUE ESCUELA FRAGATA A.R.A ""LIBERTAD"".",Licitación Privada,02/10/2026 10:00 Hrs.,Publicado,38/18 - Division Contrataciones - Comando de Transportes Navales,379 - Estado Mayor General de la Armada,,"javascript:__doPostBack('ctl00$CPH1$GridListaPliegosAperturaProxima$ctl02$lnkNumeroProceso','')",NO_DIRECT_URL,
40/39-0271-LPR26,ADQUISICION DE INSUMOS DE LIBRERIA PARA DGS (CONSOLIDADA),Licitación Privada,02/10/2026 10:00 Hrs.,Publicado,40/039 - UOC DPTO CDR,381 - Estado Mayor General de La Fuerza Aérea,,"javascript:__doPostBack('ctl00$CPH1$GridListaPliegosAperturaProxima$ctl03$lnkNumeroProceso','')",NO_DIRECT_URL,
279-0010-LPR26,Adquisición de gafetes y jerarquías,Licitación Privada,02/10/2026 10:00 Hrs.,Publicado,279/000 - Departamento de Compras - PSA,382 - Policia de Seguridad Aeroportuaria,,"javascript:__doPostBack('ctl00$CPH1$GridListaPliegosAperturaProxima$ctl04$lnkNumeroProceso','')",NO_DIRECT_URL,
38/38-0420-LPU26,ADQUISICIÓN DE EQUIPO LASER THULIO PARA EL SERVICIO DE UROLOGÍA DEL HNPM,Licitación Pública,02/10/2026 10:00 Hrs.,Publicado,38/38 - MINISTERIO DE DEFENSA - ARMADA ARGENTINA - HOSPITAL NAVAL BUENOS AIRES CIRUJANO MAYOR DOCTOR PEDRO MALLO,379 - Estado Mayor General de la Armada,,"javascript:__doPostBack('ctl00$CPH1$GridListaPliegosAperturaProxima$ctl05$lnkNumeroProceso','')",NO_DIRECT_URL,
74/46-0414-LPR26,ADQUISICIÓN DE EQUIPAMIENTOS VARIOS - PARQUE NACIONAL IBERÁ,Licitación Privada,02/10/2026 10:00 Hrs.,Publicado,74/46 - Parque Nacional Iberá,107 - Administración de Parques Nacionales,,"javascript:__doPostBack('ctl00$CPH1$GridListaPliegosAperturaProxima$ctl06$lnkNumeroProceso','')",NO_DIRECT_URL,
38/18-0394-LPU26,"ADQUISICIÓN DE ELEMENTOS DE SUJECIÓN PARA EL BUQUE ESCUELA FRAGATA A.R.A. ""LIBERTAD""",Licitación Pública,02/10/2026 10:00 Hrs.,Publicado,38/18 - Division Contrataciones - Comando de Transportes Navales,379 - Estado Mayor General de la Armada,,"javascript:__doPostBack('ctl00$CPH1$GridListaPliegosAperturaProxima$ctl07$lnkNumeroProceso','')",NO_DIRECT_URL,
37/51-0912-CDI26,ADQUISICION DE ELEMENTOS DE LIBRERIA PAPELERIA,Contratación Directa,02/10/2026 10:00 Hrs.,Publicado,"37/051 - Escuadrón 27 ""Uspallata""",375 - Gendarmeria Nacional,,"javascript:__doPostBack('ctl00$CPH1$GridListaPliegosAperturaProxima$ctl08$lnkNumeroProceso','')",NO_DIRECT_URL,
72-0028-LPR26,"ADQUISICIÓN DE DRONES, TABLETS Y EQUIPOS DE MEDICIÓN Y VISIÓN DESTINADOS AL APOYO OPERATIVO",Licitación Privada,02/10/2026 10:00 Hrs.,Publicado,72/00 - Dirección Administrativa Financiera- EMCFFAA- Dpto de contrataciones,371 - Estado Mayor Conjunto (EMCO),,"javascript:__doPostBack('ctl00$CPH1$GridListaPliegosAperturaProxima$ctl09$lnkNumeroProceso','')",NO_DIRECT_URL,
74/42-0405-LPR26,ADQUISICIÓN DE ARTICULOS DEL HOGAR VARIOS PARA EL DESTACAMENTO TAPERA DE MOYA DEL PN CAMPOS DEL TUYÚ,Licitación Privada,02/10/2026 10:00 Hrs.,Publicado,74/42 - Unidad de Compras - Parque Nacional Campos del Tuyú,107 - Administración de Parques Nacionales,,"javascript:__doPostBack('ctl00$CPH1$GridListaPliegosAperturaProxima$ctl10$lnkNumeroProceso','')",NO_DIRECT_URL,
40/51-0159-LPU26,"“Adquisición de Inmunoglobulina Humana y Caspofungina para el Departamento Farmacia del HACBA""",Licitación Pública,02/10/2026 10:00 Hrs.,Publicado,Departamento Contrataciones Córdoba - UOC 40/51,381 - Estado Mayor General de La Fuerza Aérea,,"javascript:__doPostBack('ctl00$CPH1$GridListaPliegosAperturaProxima$ctl11$lnkNumeroProceso','')",NO_DIRECT_URL,
37/53-0969-CDI26,SERV. DE MANT. Y RECARGA DE MATAFUEGOS,Contratación Directa,02/10/2026 11:00 Hrs.,Publicado,"37/053 - Escuadrón 29 ""Malargüe""",375 - Gendarmeria Nacional,,"javascript:__doPostBack('ctl00$CPH1$GridListaPliegosAperturaProxima$ctl02$lnkNumeroProceso','')",NO_DIRECT_URL,
68-0008-LPU26,Material de acondicionamiento e insumos producción de Vacuna CANDID#1- (ALCANZADO POR EL PROTOCOLO DELMERCOSUR),Licitación Pública,02/10/2026 11:00 Hrs.,Publicado,68/00 - Departamento de Administracion de Bienes - ANLIS,906 - Administración Nacional de Laboratorios e Institutos de Salud “Dr. Carlos Malbrán”,,"javascript:__doPostBack('ctl00$CPH1$GridListaPliegosAperturaProxima$ctl03$lnkNumeroProceso','')",NO_DIRECT_URL,
68-0087-CDI26,ELEMENTOS DE PROTECCION PERSONAL E INDUMENTARIA DE TRABAJO-ANLIS-,Contratación Directa,02/10/2026 11:00 Hrs.,Publicado,68/00 - Departamento de Administracion de Bienes - ANLIS,906 - Administración Nacional de Laboratorios e Institutos de Salud “Dr. Carlos Malbrán”,,"javascript:__doPostBack('ctl00$CPH1$GridListaPliegosAperturaProxima$ctl04$lnkNumeroProceso','')",NO_DIRECT_URL,
47-0135-CDI26,Adquisición de reactivos para el Gabinete de Genética Molecular y Microbiología,Contratación Directa,02/10/2026 11:00 Hrs.,Publicado,47 - Dpto. de Compras y Servicios- INIDEP,607 - Instituto Nacional de Investigación y Desarrollo Pesquero,,"javascript:__doPostBack('ctl00$CPH1$GridListaPliegosAperturaProxima$ctl05$lnkNumeroProceso','')",NO_DIRECT_URL,
68-0098-CDI26,Servicio de reacondicionamiento del cielorraso de la sala de frío del Dpto. de Virología - INEIA,Contratación Directa,02/10/2026 11:30 Hrs.,Publicado,68/00 - Departamento de Administracion de Bienes - ANLIS,906 - Administración Nacional de Laboratorios e Institutos de Salud “Dr. Carlos Malbrán”,,"javascript:__doPostBack('ctl00$CPH1$GridListaPliegosAperturaProxima$ctl06$lnkNumeroProceso','')",NO_DIRECT_URL,
27-0018-LPR26,"SERVICIO DE DESINFECCIÓN, DESRATIZACIÓN Y DESINSECTACIÓN PARA LAS TRES SEDES DEL INSTITUTO",Licitación Privada,02/10/2026 12:00 Hrs.,Publicado,27/000 - Dirección de Patrimonio y Suministros - INDEC,321 - Instituto Nacional de Estadísticas y Censos,,"javascript:__doPostBack('ctl00$CPH1$GridListaPliegosAperturaProxima$ctl07$lnkNumeroProceso','')",NO_DIRECT_URL,
347-0024-LPU26,Serv de emisión de pasajes aéreos nac e int- terrestres y asistencia al viajero,Licitación Pública,02/10/2026 12:00 Hrs.,Publicado,347/000 - Dirección General de Administración - MS,343 - Ministerio de Seguridad,,"javascript:__doPostBack('ctl00$CPH1$GridListaPliegosAperturaProxima$ctl08$lnkNumeroProceso','')",NO_DIRECT_URL,
67-0008-LPU26,Reingenieria de software SINTRA,Licitación Pública,02/10/2026 12:00 Hrs.,Publicado,67 - Departamento de compras y contrataciones- INCUCAI,905 - Instituto Nacional Central Único Coordinador de Ablación e Implante,,"javascript:__doPostBack('ctl00$CPH1$GridListaPliegosAperturaProxima$ctl09$lnkNumeroProceso','')",NO_DIRECT_URL,
18-0014-LPR26,PROVISION E INSTALACION DE CORTINAS TIPO ROLLER,Licitación Privada,02/10/2026 12:00 Hrs.,Publicado,18 - Area Compras-INAES,114 - Instituto Nacional de Asociativismo y Economía Social,,"javascript:__doPostBack('ctl00$CPH1$GridListaPliegosAperturaProxima$ctl10$lnkNumeroProceso','')",NO_DIRECT_URL,
26-0009-LPU26,EQUIPAMIENTO CIENTÍFICO - DIRECCIÓN NACIONAL DEL ANTÁRTICO,Licitación Pública,02/10/2026 12:00 Hrs.,Publicado,26/000 - Dirección de Compras y Contrataciones - MRE,"307 - Ministerio de Relaciones Exteriores, Comercio Internacional y Culto",,"javascript:__doPostBack('ctl00$CPH1$GridListaPliegosAperturaProxima$ctl11$lnkNumeroProceso','')",NO_DIRECT_URL,
66-0005-CDI26,Adquisición de Anilladora,Contratación Directa,02/10/2026 12:00 Hrs.,Publicado,"66/00 - Dirección de Compras, Suministros, Logística y Arquitectura - ANMAT","904 - Administración Nacional de Medicamentos, Alimentos y Tecnología Médica - ANMAT",,"javascript:__doPostBack('ctl00$CPH1$GridListaPliegosAperturaProxima$ctl02$lnkNumeroProceso','')",NO_DIRECT_URL,
50-0013-CDI26,Adquisición de artículos de papelería y cartón,Contratación Directa,02/10/2026 17:00 Hrs.,Publicado,50 - Departamento de Compras y Contrataciones,614 - Instituto Nacional de Semillas,,"javascript:__doPostBack('ctl00$CPH1$GridListaPliegosAperturaProxima$ctl03$lnkNumeroProceso','')",NO_DIRECT_URL,
41-0024-CDI26,"Adquisición de electrodoméstico, equipos de climatización y bienes de oficina",Contratación Directa,05/10/2026 06:00 Hrs.,Publicado,41 - División Compras y Contrataciones-IGN,450 - Instituto Geográfico Nacional,,"javascript:__doPostBack('ctl00$CPH1$GridListaPliegosAperturaProxima$ctl04$lnkNumeroProceso','')",NO_DIRECT_URL,
38/19-0441-LPU26,JEMI NUEVO LLAMADO SERVICIO DE REPARACION E IMPERMEABILIZACION DE LA TERRAZA DEL PISO 15 EDLI.,Licitación Pública,05/10/2026 07:00 Hrs.,Publicado,38/19 - División Contrataciones del Cuartel General del EMGA,379 - Estado Mayor General de la Armada,,"javascript:__doPostBack('ctl00$CPH1$GridListaPliegosAperturaProxima$ctl05$lnkNumeroProceso','')",NO_DIRECT_URL,
40/43-0703-CDI26,SERVICIO DE VOLQUETES PARA EL LICEO AERONAUTICO MILITAR,Contratación Directa,05/10/2026 08:00 Hrs.,Publicado,40/043 - LICEO AERONAUTICO MILITAR,381 - Estado Mayor General de La Fuerza Aérea,,"javascript:__doPostBack('ctl00$CPH1$GridListaPliegosAperturaProxima$ctl06$lnkNumeroProceso','')",NO_DIRECT_URL,
84/37-0641-LPU26,SERVICIO DE RECOLECCIÓN DE RESIDUOS PATÓGENOS 2026,Licitación Pública,05/10/2026 08:00 Hrs.,Publicado,84/37 - Hospital Militar Regional Córdoba,374 - Estado Mayor General del Ejercito,,"javascript:__doPostBack('ctl00$CPH1$GridListaPliegosAperturaProxima$ctl07$lnkNumeroProceso','')",NO_DIRECT_URL,
38/25-1140-LPR26,SERVICIO DE AUDITORIA PARA ACTUALIZAR LA HABILITACIÓN DE LAS INSTALACIONES DE LA AEROPLANTA BAPI,Licitación Privada,05/10/2026 08:00 Hrs.,Publicado,38/25 - Base Aeronaval Comandante espora,379 - Estado Mayor General de la Armada,,"javascript:__doPostBack('ctl00$CPH1$GridListaPliegosAperturaProxima$ctl08$lnkNumeroProceso','')",NO_DIRECT_URL,
84/128-0664-LPU26,ADQUISICIÓN DE PRODUCTOS CÁRNICOS PARA UNIDADES DEL AMBA,Licitación Pública,05/10/2026 08:00 Hrs.,Publicado,84/128 - Dirección General de Intendencia,374 - Estado Mayor General del Ejercito,,"javascript:__doPostBack('ctl00$CPH1$GridListaPliegosAperturaProxima$ctl09$lnkNumeroProceso','')",NO_DIRECT_URL,
340/1-0043-LPU26,ADQUISICIÓN DE EFECTOS DE ELECTRICIDAD Y BATERÍAS – SOSTÉN LOGÍSTICO ANTÁRTICO,Licitación Pública,05/10/2026 08:00 Hrs.,Publicado,340/001 - Dirección General de Administración - SSSLD,376 - Subsecretaría de Planeamiento Operativo y Servicio Logístico de la Defensa,,"javascript:__doPostBack('ctl00$CPH1$GridListaPliegosAperturaProxima$ctl10$lnkNumeroProceso','')",NO_DIRECT_URL,
84/33-1467-LPR26,ADQUISICIÓN DE CORTINAS BLACK OUT ROLLER,Licitación Privada,05/10/2026 08:00 Hrs.,Publicado,84/33 - DIRECCION DE INTELIGENCIA OPERACIONAL,374 - Estado Mayor General del Ejercito,,"javascript:__doPostBack('ctl00$CPH1$GridListaPliegosAperturaProxima$ctl11$lnkNumeroProceso','')",NO_DIRECT_URL,
74/35-0434-LPR26,Adquisición de artículos de limpieza para el PN Copo.,Licitación Privada,05/10/2026 08:00 Hrs.,Publicado,74/35 - Parque Nacional Copo,107 - Administración de Parques Nacionales,,"javascript:__doPostBack('ctl00$CPH1$GridListaPliegosAperturaProxima$ctl02$lnkNumeroProceso','')",NO_DIRECT_URL,
38/37-1078-LPR26,"ELEMENTOS DE PROTECCION PERSONAL, INDUMENTARIA DE TRABAJO Y CARTELERIA DE SEGURIDAD PARA HNPB",Licitación Privada,05/10/2026 08:30 Hrs.,Publicado,38/37 - Hospital Naval Puerto Belgrano,379 - Estado Mayor General de la Armada,,"javascript:__doPostBack('ctl00$CPH1$GridListaPliegosAperturaProxima$ctl03$lnkNumeroProceso','')",NO_DIRECT_URL,
84/6-0659-LPU26,ADQUISICIÓN DE MOCHILAS Y BOTIQUINES TÁCTICOS DE ATENCIÓN INICIAL DEL TRAUMA - DGS 2026,Licitación Pública,05/10/2026 08:30 Hrs.,Publicado,84/06 - Dirección General de Salud,374 - Estado Mayor General del Ejercito,,"javascript:__doPostBack('ctl00$CPH1$GridListaPliegosAperturaProxima$ctl04$lnkNumeroProceso','')",NO_DIRECT_URL,
84/37-1381-LPR26,SERVICIO DE ESTERILIZACIÓN,Licitación Privada,05/10/2026 09:00 Hrs.,Publicado,84/37 - Hospital Militar Regional Córdoba,374 - Estado Mayor General del Ejercito,,"javascript:__doPostBack('ctl00$CPH1$GridListaPliegosAperturaProxima$ctl05$lnkNumeroProceso','')",NO_DIRECT_URL,
40/24-0783-CDI26,Servicio de alquiler de grúa para la IX Brigada Aérea (Nuevo Llamado),Contratación Directa,05/10/2026 09:00 Hrs.,Publicado,40/024 - UOC CRV,381 - Estado Mayor General de La Fuerza Aérea,,"javascript:__doPostBack('ctl00$CPH1$GridListaPliegosAperturaProxima$ctl06$lnkNumeroProceso','')",NO_DIRECT_URL,
84/41-1461-LPR26,CONFECCION DE PRESENTES PROTOCOLARES PARA LA CONTADURIA GENERAL DEL EJERCITO,Licitación Privada,05/10/2026 09:00 Hrs.,Publicado,84/41 - Contaduría general del Ejercito,374 - Estado Mayor General del Ejercito,,"javascript:__doPostBack('ctl00$CPH1$GridListaPliegosAperturaProxima$ctl07$lnkNumeroProceso','')",NO_DIRECT_URL,
38/6-1115-LPR26,ADQUISICION DEL RECARGA Y MANTENIMIENTO DE MATAFUEGOS ADRG AÑO 2026,Licitación Privada,05/10/2026 09:00 Hrs.,Publicado,38/6 - INTENDENCIA NAVAL USHUAIA,379 - Estado Mayor General de la Armada,,"javascript:__doPostBack('ctl00$CPH1$GridListaPliegosAperturaProxima$ctl08$lnkNumeroProceso','')",NO_DIRECT_URL,
35-0015-LPU26,Adquisición de hardware para el Servicio de Hidrografía Naval.,Licitación Pública,05/10/2026 09:00 Hrs.,Publicado,35/000 - Dirección General de Administración - MD,370 - Ministerio de Defensa,,"javascript:__doPostBack('ctl00$CPH1$GridListaPliegosAperturaProxima$ctl09$lnkNumeroProceso','')",NO_DIRECT_URL,
84/129-0628-LPU26,ADQUISICION DE EQUIPOS DE PROTECCION PERSONAL PARA EL B ARS 602 PLANTA TAM 2C,Licitación Pública,05/10/2026 09:00 Hrs.,Publicado,84/129 - Dirección de Arsenales,374 - Estado Mayor General del Ejercito,,"javascript:__doPostBack('ctl00$CPH1$GridListaPliegosAperturaProxima$ctl10$lnkNumeroProceso','')",NO_DIRECT_URL,
38/12-0433-LPU26,ADQUISICIÓN DE ENFRIADORES DE AGUA MEKO 360 PARA UNIDADES DEPENDIENTES DEL COFM / ARA,Licitación Pública,05/10/2026 09:00 Hrs.,Publicado,38/12 - Comando de la Flota de Mar,379 - Estado Mayor General de la Armada,,"javascript:__doPostBack('ctl00$CPH1$GridListaPliegosAperturaProxima$ctl11$lnkNumeroProceso','')",NO_DIRECT_URL,
40/24-0762-CDI26,ADQUISICION DE ELEMENTOS DE LIMPIEZA PARA EL G2 COM,Contratación Directa,05/10/2026 09:00 Hrs.,Publicado,40/024 - UOC CRV,381 - Estado Mayor General de La Fuerza Aérea,,"javascript:__doPostBack('ctl00$CPH1$GridListaPliegosAperturaProxima$ctl02$lnkNumeroProceso','')",NO_DIRECT_URL,
38/12-0222-LPU26,ADQUISICIÓN DE BOMBAS KSB MEKO-140,Licitación Pública,05/10/2026 09:00 Hrs.,Publicado,38/12 - Comando de la Flota de Mar,379 - Estado Mayor General de la Armada,,"javascript:__doPostBack('ctl00$CPH1$GridListaPliegosAperturaProxima$ctl03$lnkNumeroProceso','')",NO_DIRECT_URL,
38/1-0395-LPU26,"Adquisición de filtros de aceite, perno pistón, válvulas y otros elementos afines.",Licitación Pública,05/10/2026 09:30 Hrs.,Publicado,38/01 - ARSENAL NAVAL PUERTO BELGRANO,379 - Estado Mayor General de la Armada,,"javascript:__doPostBack('ctl00$CPH1$GridListaPliegosAperturaProxima$ctl04$lnkNumeroProceso','')",NO_DIRECT_URL,
84/142-0638-LPU26,SERVICIO DE MANTENIMIENTO Y REPARACIÓN DE INFRAESTRUCTURAS – RA1 (ALOJAMIENTO FEMENINO),Licitación Pública,05/10/2026 10:00 Hrs.,Publicado,84/142 - Regimiento de Artillería 1,374 - Estado Mayor General del Ejercito,,"javascript:__doPostBack('ctl00$CPH1$GridListaPliegosAperturaProxima$ctl05$lnkNumeroProceso','')",NO_DIRECT_URL,
34-0009-LPU26,Servicio de Mantenimiento para centrales telefónicas,Licitación Pública,05/10/2026 10:00 Hrs.,Publicado,34/000 - Dirección General de Administración - MHA,357 - Ministerio de Economía,,"javascript:__doPostBack('ctl00$CPH1$GridListaPliegosAperturaProxima$ctl06$lnkNumeroProceso','')",NO_DIRECT_URL,
32-0003-LPU26,Provisión de dispensers y botellones de agua potable alcanzado por el Protocolo del Mercosur,Licitación Pública,05/10/2026 10:00 Hrs.,Publicado,32/000 - Dirección General de Administración - MJyDDHH,332 - Ministerio de Justicia y Derechos Humanos,,"javascript:__doPostBack('ctl00$CPH1$GridListaPliegosAperturaProxima$ctl07$lnkNumeroProceso','')",NO_DIRECT_URL,
74/3-0413-LPR26,Provisión de botellones de agua de 20 litros para el Parque Nacional Lanín x 3 meses,Licitación Privada,05/10/2026 10:00 Hrs.,Publicado,74/003 - Parque Nacional Lanin,107 - Administración de Parques Nacionales,,"javascript:__doPostBack('ctl00$CPH1$GridListaPliegosAperturaProxima$ctl08$lnkNumeroProceso','')",NO_DIRECT_URL,
87-0067-CDI26,Contratación de Servicio de Alquiler de dispensers de agua potable para las dependencias del INCAA,Contratación Directa,05/10/2026 10:00 Hrs.,Publicado,"87 - Coordinación de Compras, Contrataciones y Servicios Generales - INCAA",801 - Instituto Nacional de Cine y Artes Audiovisuales - INCAA,,"javascript:__doPostBack('ctl00$CPH1$GridListaPliegosAperturaProxima$ctl09$lnkNumeroProceso','')",NO_DIRECT_URL,
87-0064-CDI26,Compra de Discos Rígidos para la oficina de Postproducción– ENERC,Contratación Directa,05/10/2026 10:00 Hrs.,Publicado,"87 - Coordinación de Compras, Contrataciones y Servicios Generales - INCAA",801 - Instituto Nacional de Cine y Artes Audiovisuales - INCAA,,"javascript:__doPostBack('ctl00$CPH1$GridListaPliegosAperturaProxima$ctl10$lnkNumeroProceso','')",NO_DIRECT_URL,
37/51-0886-CDI26,ADQUISICIÓN DE SERVICIO DE MANTENIMIENTO Y REPARACION DE VEHÍCULO,Contratación Directa,05/10/2026 10:00 Hrs.,Publicado,"37/051 - Escuadrón 27 ""Uspallata""",375 - Gendarmeria Nacional,,"javascript:__doPostBack('ctl00$CPH1$GridListaPliegosAperturaProxima$ctl11$lnkNumeroProceso','')",NO_DIRECT_URL,
38/38-0994-LPR26,ADQUISICION DE SERVICIO DE INFORMES MEDICOS PARA LA DIVISION RADIALOGIA DEL HNPM.,Licitación Privada,05/10/2026 10:00 Hrs.,Publicado,38/38 - MINISTERIO DE DEFENSA - ARMADA ARGENTINA - HOSPITAL NAVAL BUENOS AIRES CIRUJANO MAYOR DOCTOR PEDRO MALLO,379 - Estado Mayor General de la Armada,,"javascript:__doPostBack('ctl00$CPH1$GridListaPliegosAperturaProxima$ctl02$lnkNumeroProceso','')",NO_DIRECT_URL,
38/38-1079-LPR26,ADQUISICION DE MATERIALES PARA ODONTOLOGIA,Licitación Privada,05/10/2026 10:00 Hrs.,Publicado,38/38 - MINISTERIO DE DEFENSA - ARMADA ARGENTINA - HOSPITAL NAVAL BUENOS AIRES CIRUJANO MAYOR DOCTOR PEDRO MALLO,379 - Estado Mayor General de la Armada,,"javascript:__doPostBack('ctl00$CPH1$GridListaPliegosAperturaProxima$ctl03$lnkNumeroProceso','')",NO_DIRECT_URL,
38/18-1136-LPR26,"ADQUISICIÓN DE ELEMENTOS DE BLANQUERÍA E INSUMOS TEXTILES PARA EL BUQUE ESCUELA FRAGATA ""LIBERTAD"".",Licitación Privada,05/10/2026 10:00 Hrs.,Publicado,38/18 - Division Contrataciones - Comando de Transportes Navales,379 - Estado Mayor General de la Armada,,"javascript:__doPostBack('ctl00$CPH1$GridListaPliegosAperturaProxima$ctl04$lnkNumeroProceso','')",NO_DIRECT_URL,
74/52-0423-LPR26,Adquisición de artículos de limpieza para el Parque Federal Campo San Juan.,Licitación Privada,05/10/2026 10:00 Hrs.,Publicado,74/52 - PARQUE FEDERAL CAMPO SAN JUAN,107 - Administración de Parques Nacionales,,"javascript:__doPostBack('ctl00$CPH1$GridListaPliegosAperturaProxima$ctl05$lnkNumeroProceso','')",NO_DIRECT_URL,
47-0118-CDI26,"Adquisición bomba peristáltica, cabezales y manguera siliconada",Contratación Directa,05/10/2026 10:00 Hrs.,Publicado,47 - Dpto. de Compras y Servicios- INIDEP,607 - Instituto Nacional de Investigación y Desarrollo Pesquero,,"javascript:__doPostBack('ctl00$CPH1$GridListaPliegosAperturaProxima$ctl06$lnkNumeroProceso','')",NO_DIRECT_URL,
53-0018-CDI26,ADQ BATERIAS PARA LA RED NACIONAL DE DINPRS,Contratación Directa,05/10/2026 10:00 Hrs.,Publicado,Servicio Geológico Minero Argentino - Dir. Administración y Finanzas - Compras,624 - Servicio Geológico Minero Argentino,,"javascript:__doPostBack('ctl00$CPH1$GridListaPliegosAperturaProxima$ctl07$lnkNumeroProceso','')",NO_DIRECT_URL,
80-0040-LPU26,Adquisición de Reactivos de Serología de VIH e ITS,Licitación Pública,05/10/2026 11:00 Hrs.,Publicado,80/000 - Dirección General de Administración - MS,310 - Ministerio de Salud,,"javascript:__doPostBack('ctl00$CPH1$GridListaPliegosAperturaProxima$ctl08$lnkNumeroProceso','')",NO_DIRECT_URL,
63-0012-LPU26,Adquisición de insumos para pintura,Licitación Pública,05/10/2026 11:00 Hrs.,Publicado,63/000 - Dirección de Contrataciones - ANSES II,850 - Administración Nacional de la Seguridad Social,,"javascript:__doPostBack('ctl00$CPH1$GridListaPliegosAperturaProxima$ctl09$lnkNumeroProceso','')",NO_DIRECT_URL,
